Owner,Number of Plants
Swiss Steel Holding AG,1
Hadeed Metal Manufacturing Co,1
Hmisho Steel SA,1
China Steel Corp,1
Dragon Steel Corp,1
E-Top Metal Co Ltd,1
Feng Hsin Steel Co Ltd,1
Hai Kwang Enterprise Corp,1
Shyeh Sheng Fuat Steel & Iron Works Co Ltd,1
ArcelorMittal Dofasco GP,1
Yieh United Steel Corp,1
Bangkok Steel Industry PCL,1
Chow Steel Industries PCL,1
Millcon Steel PCL,1
G Steel PCL,1
G J Steel PCL,1
Georgsmarienhuette GmbH,1
ArcelorMittal Long Products Canada GP,1
TY Steel Co Ltd,1
UMC Metals Ltd,1
Nu-Iron Unlimited,1
ABA Çelik Demir LŞ,1
Asil Celik Sanayi ve Ticaret AŞ,1
Çebitaş Demir Çelik Endüstrisi AŞ,1
Çolakoğlu Metalürji AŞ,1
Diler Demir Celik Endustri ve Ticaret AŞ,1
Ege Celik Endustrisi Sanayi ve Ticaret AŞ,1
Ekinciler Demir ve Celik Sanayi AŞ,1
Eregli Demir ve Celik Fabrikalari AŞ,1
Habas Industrial and Medical Gases Production Industries AŞ,1
Içdaş Çelik Enerji Tersane Ve Ulaşim Sanayi AŞ,1
Izmir Demir Celik Sanayi AŞ,1
Iskenderun Demir ve Celik AŞ,1
Kaptan Demir Celik Endustrisi Ve Ticaret AŞ,1
Ivaco Rolling Mills 2004 LP,1
Koc Metalurji AŞ,1
Kroman Celik Sanayii AS,1
Mescier Demir Celik AŞ,1
MMK Metalurji Sanayi Ticaret ve Liman Isletmeciligi AŞ,1
Ozkan Demir Celik Sanayi AŞ,1
Sıddık Kardeşler Haddecilik Sanayi Ticaret LŞ,1
Rio Tinto Iron and Titanium Canada Inc,1
